TimeStamp,NYA_DCS_G6710A_TotalKVAR,HEALTH
2022-01-14 23:00:00+07:00,28.96,100.0
2022-01-15 00:00:00+07:00,29.09,100.0
2022-01-15 02:00:00+07:00,32.99,100.0
2022-01-15 03:00:00+07:00,31.36,100.0
2022-01-15 04:00:00+07:00,31.87,100.0
2022-01-15 05:00:00+07:00,35.0,100.0
2022-01-15 06:00:00+07:00,31.18,100.0
2022-01-15 07:00:00+07:00,32.55,100.0
2022-01-15 08:00:00+07:00,29.14,100.0
2022-01-15 09:00:00+07:00,32.34,100.0
2022-01-15 10:00:00+07:00,32.95,100.0
2022-01-15 11:00:00+07:00,31.31,100.0
2022-01-15 12:00:00+07:00,32.47,100.0
2022-01-15 13:00:00+07:00,31.04,100.0
2022-01-15 14:00:00+07:00,32.36,100.0
2022-01-15 16:00:00+07:00,34.19,100.0
2022-01-15 18:00:00+07:00,33.81,100.0
2022-01-15 20:00:00+07:00,32.66,100.0
2022-01-15 21:00:00+07:00,32.49,100.0
2022-01-15 22:00:00+07:00,32.43,100.0
2022-01-15 23:00:00+07:00,32.97,100.0
2022-01-16 00:00:00+07:00,33.43,100.0
2022-01-16 01:00:00+07:00,34.62,100.0
2022-01-16 02:00:00+07:00,33.71,100.0
2022-01-16 05:00:00+07:00,34.49,100.0
2022-01-16 06:00:00+07:00,31.44,100.0
2022-01-16 09:00:00+07:00,31.58,100.0
2022-01-16 10:00:00+07:00,32.61,100.0
2022-01-16 11:00:00+07:00,31.43,100.0
2022-01-16 13:00:00+07:00,32.69,100.0
2022-01-16 15:00:00+07:00,33.2,100.0
2022-01-16 16:00:00+07:00,33.05,100.0
2022-01-16 18:00:00+07:00,31.48,100.0
2022-01-16 19:00:00+07:00,35.52,100.0
2022-01-16 20:00:00+07:00,34.12,100.0
2022-01-16 21:00:00+07:00,32.99,100.0
2022-01-16 23:00:00+07:00,32.75,100.0
2022-01-17 01:00:00+07:00,33.48,100.0
2022-01-17 04:00:00+07:00,33.54,100.0
2022-01-17 05:00:00+07:00,34.34,100.0
2022-01-17 06:00:00+07:00,30.26,100.0
2022-01-17 07:00:00+07:00,34.55,100.0
2022-01-17 08:00:00+07:00,33.82,100.0
2022-01-17 09:00:00+07:00,35.67,100.0
2022-01-17 10:00:00+07:00,31.62,100.0
2022-01-17 11:00:00+07:00,30.18,100.0
2022-01-17 12:00:00+07:00,36.34,100.0
2022-01-17 13:00:00+07:00,34.66,100.0
2022-01-17 17:00:00+07:00,33.94,100.0
2022-01-17 19:00:00+07:00,33.39,100.0
2022-01-17 20:00:00+07:00,32.89,100.0
2022-01-17 21:00:00+07:00,33.95,100.0
2022-01-17 22:00:00+07:00,32.85,100.0
2022-01-17 23:00:00+07:00,32.3,100.0
2022-01-18 01:00:00+07:00,32.42,100.0
2022-01-18 02:00:00+07:00,30.47,100.0
2022-01-18 04:00:00+07:00,32.83,100.0
2022-01-18 05:00:00+07:00,33.62,100.0
2022-01-18 06:00:00+07:00,31.43,100.0
2022-01-18 07:00:00+07:00,31.72,100.0
2022-01-18 08:00:00+07:00,31.15,100.0
2022-01-18 09:00:00+07:00,33.56,100.0
2022-01-18 10:00:00+07:00,33.14,100.0
2022-01-18 11:00:00+07:00,32.66,100.0
2022-01-18 14:00:00+07:00,32.56,100.0
2022-01-18 18:00:00+07:00,32.11,100.0
2022-01-18 19:00:00+07:00,34.83,100.0
2022-01-18 20:00:00+07:00,30.87,100.0
2022-01-18 22:00:00+07:00,34.08,100.0
2022-01-18 23:00:00+07:00,33.37,100.0
2022-01-19 00:00:00+07:00,33.04,100.0
2022-01-19 01:00:00+07:00,32.62,100.0
2022-01-19 02:00:00+07:00,31.96,100.0
2022-01-19 03:00:00+07:00,33.69,100.0
2022-01-19 04:00:00+07:00,34.48,100.0
2022-01-19 05:00:00+07:00,30.7,100.0
2022-01-19 06:00:00+07:00,29.81,100.0
2022-01-19 07:00:00+07:00,29.47,100.0
2022-01-19 08:00:00+07:00,32.08,100.0
2022-01-19 09:00:00+07:00,31.28,100.0
2022-01-19 10:00:00+07:00,32.26,100.0
2022-01-19 12:00:00+07:00,33.21,100.0
2022-01-19 13:00:00+07:00,32.6,100.0
2022-01-19 14:00:00+07:00,33.38,100.0
2022-01-19 15:00:00+07:00,33.45,100.0
2022-01-19 16:00:00+07:00,33.3,100.0
2022-01-19 17:00:00+07:00,32.03,100.0
2022-01-19 18:00:00+07:00,32.52,100.0
2022-01-19 19:00:00+07:00,33.03,100.0
2022-01-19 20:00:00+07:00,34.04,100.0
2022-01-19 21:00:00+07:00,33.6,100.0
2022-01-19 22:00:00+07:00,33.65,100.0
2022-01-19 23:00:00+07:00,32.76,100.0
2022-01-20 00:00:00+07:00,32.12,100.0
2022-01-20 01:00:00+07:00,34.43,100.0
2022-01-20 02:00:00+07:00,34.04,100.0
2022-01-20 03:00:00+07:00,31.85,100.0
2022-01-20 04:00:00+07:00,32.72,100.0
2022-01-20 05:00:00+07:00,31.54,100.0
2022-01-20 06:00:00+07:00,33.77,100.0
2022-01-20 07:00:00+07:00,34.47,100.0
2022-01-20 08:00:00+07:00,32.95,100.0
2022-01-20 09:00:00+07:00,31.18,100.0
