TimeStamp,NYA_DCS_G6710A_Rear_Bear_Temp,HEALTH
2022-01-11 17:00:00+07:00,93.18,100.0
2022-01-11 18:00:00+07:00,91.51,100.0
2022-01-11 19:00:00+07:00,90.34,100.0
2022-01-11 20:00:00+07:00,91.61,100.0
2022-01-11 21:00:00+07:00,92.55,100.0
2022-01-11 22:00:00+07:00,91.01,100.0
2022-01-11 23:00:00+07:00,90.74,100.0
2022-01-12 00:00:00+07:00,91.4,100.0
2022-01-12 01:00:00+07:00,91.4,100.0
2022-01-12 02:00:00+07:00,88.03,100.0
2022-01-12 03:00:00+07:00,88.25,100.0
2022-01-12 04:00:00+07:00,88.61,100.0
2022-01-12 05:00:00+07:00,90.26,100.0
2022-01-12 10:00:00+07:00,94.28,100.0
2022-01-12 11:00:00+07:00,94.47,100.0
2022-01-12 12:00:00+07:00,95.6,100.0
2022-01-12 13:00:00+07:00,96.8,100.0
2022-01-12 16:00:00+07:00,96.94,100.0
2022-01-12 17:00:00+07:00,98.6,100.0
2022-01-12 19:00:00+07:00,98.6,100.0
2022-01-12 20:00:00+07:00,98.48,100.0
2022-01-12 22:00:00+07:00,96.14,100.0
2022-01-12 23:00:00+07:00,94.06,100.0
2022-01-13 00:00:00+07:00,91.9,100.0
2022-01-13 01:00:00+07:00,90.1,100.0
2022-01-13 02:00:00+07:00,87.6,100.0
2022-01-13 03:00:00+07:00,86.0,100.0
2022-01-13 04:00:00+07:00,84.2,100.0
2022-01-13 05:00:00+07:00,85.28,100.0
2022-01-13 06:00:00+07:00,87.52,100.0
2022-01-13 07:00:00+07:00,87.72,100.0
2022-01-13 09:00:00+07:00,91.23,100.0
2022-01-13 10:00:00+07:00,90.95,100.0
2022-01-13 11:00:00+07:00,91.37,100.0
2022-01-13 13:00:00+07:00,92.67,100.0
2022-01-13 14:00:00+07:00,93.2,100.0
2022-01-13 16:00:00+07:00,93.2,100.0
2022-01-13 17:00:00+07:00,93.2,100.0
2022-01-13 18:00:00+07:00,91.4,100.0
2022-01-13 19:00:00+07:00,91.4,100.0
2022-01-13 20:00:00+07:00,91.4,100.0
2022-01-13 21:00:00+07:00,91.44,100.0
2022-01-13 22:00:00+07:00,93.06,100.0
2022-01-13 23:00:00+07:00,92.76,100.0
2022-01-14 00:00:00+07:00,91.58,100.0
2022-01-14 01:00:00+07:00,92.47,100.0
2022-01-14 02:00:00+07:00,91.49,100.0
2022-01-14 03:00:00+07:00,91.4,100.0
2022-01-14 04:00:00+07:00,91.4,100.0
2022-01-14 05:00:00+07:00,91.4,100.0
2022-01-14 06:00:00+07:00,89.74,100.0
2022-01-14 07:00:00+07:00,88.28,100.0
2022-01-14 12:00:00+07:00,97.42,100.0
2022-01-14 13:00:00+07:00,96.8,100.0
2022-01-14 14:00:00+07:00,97.09,100.0
2022-01-14 15:00:00+07:00,94.88,100.0
2022-01-14 16:00:00+07:00,93.2,100.0
2022-01-14 17:00:00+07:00,92.46,100.0
2022-01-14 18:00:00+07:00,91.4,100.0
2022-01-14 19:00:00+07:00,93.2,100.0
2022-01-14 20:00:00+07:00,93.2,100.0
2022-01-14 21:00:00+07:00,93.2,100.0
2022-01-14 22:00:00+07:00,93.2,100.0
2022-01-14 23:00:00+07:00,93.2,100.0
