TimeStamp,NYA_DCS_G6710A_CoolantTemp_RB,NYA_DCS_G6710A_OilTemp,CLUSTER,OVER_BY,HEALTH
2022-01-08 13:00:00+07:00,183.75,183.95,1,0.0,100.0
2022-01-08 14:00:00+07:00,184.0,183.97,1,0.0,100.0
2022-01-08 16:00:00+07:00,185.16,184.83,1,0.0,100.0
2022-01-08 17:00:00+07:00,183.68,184.1,1,0.0,100.0
2022-01-08 18:00:00+07:00,182.72,183.06,1,0.0,100.0
2022-01-08 19:00:00+07:00,181.4,182.42,1,0.0,100.0
2022-01-08 20:00:00+07:00,182.46,182.78,1,0.0,100.0
2022-01-08 21:00:00+07:00,181.36,181.82,1,0.0,100.0
2022-01-08 22:00:00+07:00,180.93,181.39,1,0.0,100.0
2022-01-08 23:00:00+07:00,179.75,181.01,1,0.0,100.0
2022-01-09 00:00:00+07:00,179.6,180.87,1,0.0,100.0
2022-01-09 01:00:00+07:00,179.6,180.95,1,0.0,100.0
2022-01-09 02:00:00+07:00,179.6,180.47,1,0.0,100.0
2022-01-09 03:00:00+07:00,179.6,180.46,1,0.0,100.0
2022-01-09 04:00:00+07:00,179.6,180.33,1,0.0,100.0
2022-01-09 05:00:00+07:00,179.6,180.62,1,0.0,100.0
2022-01-09 06:00:00+07:00,180.98,181.57,1,0.0,100.0
2022-01-09 07:00:00+07:00,181.56,182.37,1,0.0,100.0
2022-01-09 08:00:00+07:00,182.02,182.5,1,0.0,100.0
2022-01-09 09:00:00+07:00,182.06,182.78,1,0.0,100.0
2022-01-09 10:00:00+07:00,181.66,182.41,1,0.0,100.0
2022-01-09 11:00:00+07:00,182.96,183.01,1,0.0,100.0
2022-01-09 12:00:00+07:00,183.2,183.67,1,0.0,100.0
2022-01-09 13:00:00+07:00,181.03,181.51,1,0.0,100.0
2022-01-09 14:00:00+07:00,184.9,183.72,1,0.0,100.0
2022-01-09 15:00:00+07:00,186.8,186.45,1,0.0,100.0
2022-01-09 16:00:00+07:00,186.8,186.42,1,0.0,100.0
2022-01-09 17:00:00+07:00,185.18,185.48,1,0.0,100.0
2022-01-09 18:00:00+07:00,184.04,184.21,1,0.0,100.0
2022-01-09 19:00:00+07:00,183.63,184.03,1,0.0,100.0
2022-01-09 20:00:00+07:00,182.93,183.33,1,0.0,100.0
2022-01-09 21:00:00+07:00,183.2,183.24,1,0.0,100.0
2022-01-09 22:00:00+07:00,181.94,182.47,1,0.0,100.0
2022-01-09 23:00:00+07:00,183.15,183.4,1,0.0,100.0
2022-01-10 00:00:00+07:00,183.05,183.14,1,0.0,100.0
2022-01-10 01:00:00+07:00,183.41,183.66,1,0.0,100.0
2022-01-10 02:00:00+07:00,183.17,183.73,1,0.0,100.0
2022-01-10 03:00:00+07:00,182.39,182.81,1,0.0,100.0
