TimeStamp,NYA_DCS_G6710A_OilPressure,HEALTH
2022-01-19 02:00:00+07:00,61.43,100.0
2022-01-19 03:00:00+07:00,60.85,100.0
2022-01-19 04:00:00+07:00,60.38,100.0
2022-01-19 05:00:00+07:00,60.35,100.0
2022-01-19 06:00:00+07:00,60.75,100.0
2022-01-19 07:00:00+07:00,60.77,100.0
2022-01-19 08:00:00+07:00,60.45,100.0
2022-01-19 09:00:00+07:00,60.36,100.0
2022-01-19 10:00:00+07:00,60.34,100.0
2022-01-19 12:00:00+07:00,60.42,100.0
2022-01-19 13:00:00+07:00,60.93,100.0
2022-01-19 14:00:00+07:00,61.16,100.0
2022-01-19 15:00:00+07:00,61.38,100.0
2022-01-19 16:00:00+07:00,60.99,100.0
2022-01-19 17:00:00+07:00,61.31,100.0
2022-01-19 18:00:00+07:00,61.0,100.0
2022-01-19 19:00:00+07:00,61.08,100.0
2022-01-19 20:00:00+07:00,60.75,100.0
2022-01-19 21:00:00+07:00,61.13,100.0
2022-01-19 22:00:00+07:00,61.5,100.0
2022-01-19 23:00:00+07:00,61.49,100.0
2022-01-20 00:00:00+07:00,61.4,100.0
2022-01-20 01:00:00+07:00,61.13,100.0
2022-01-20 02:00:00+07:00,60.88,100.0
2022-01-20 03:00:00+07:00,60.37,100.0
2022-01-20 04:00:00+07:00,60.35,100.0
2022-01-20 05:00:00+07:00,60.34,100.0
2022-01-20 06:00:00+07:00,60.34,100.0
2022-01-20 07:00:00+07:00,60.51,100.0
2022-01-20 08:00:00+07:00,60.34,100.0
2022-01-20 09:00:00+07:00,60.21,100.0
2022-01-20 10:00:00+07:00,59.99,100.0
2022-01-20 11:00:00+07:00,59.81,100.0
2022-01-20 12:00:00+07:00,60.16,100.0
2022-01-20 14:00:00+07:00,60.65,100.0
2022-01-20 15:00:00+07:00,60.81,100.0
2022-01-20 16:00:00+07:00,60.93,100.0
2022-01-20 19:00:00+07:00,60.4,100.0
2022-01-20 20:00:00+07:00,60.1,100.0
2022-01-20 21:00:00+07:00,60.33,100.0
2022-01-20 22:00:00+07:00,60.22,100.0
2022-01-20 23:00:00+07:00,60.34,100.0
2022-01-21 00:00:00+07:00,60.34,100.0
2022-01-21 01:00:00+07:00,60.65,100.0
2022-01-21 02:00:00+07:00,60.69,100.0
2022-01-21 03:00:00+07:00,61.06,100.0
2022-01-21 04:00:00+07:00,61.2,100.0
2022-01-21 05:00:00+07:00,60.89,100.0
2022-01-21 06:00:00+07:00,60.8,100.0
2022-01-21 07:00:00+07:00,60.85,100.0
2022-01-21 08:00:00+07:00,60.37,100.0
2022-01-21 09:00:00+07:00,60.34,100.0
2022-01-21 11:00:00+07:00,60.14,100.0
2022-01-21 13:00:00+07:00,60.85,100.0
2022-01-21 14:00:00+07:00,60.35,100.0
2022-01-21 15:00:00+07:00,60.09,100.0
2022-01-21 16:00:00+07:00,60.4,100.0
2022-01-21 17:00:00+07:00,60.55,100.0
2022-01-21 18:00:00+07:00,60.15,100.0
2022-01-21 19:00:00+07:00,60.26,100.0
2022-01-21 22:00:00+07:00,60.11,100.0
2022-01-21 23:00:00+07:00,60.18,100.0
2022-01-22 00:00:00+07:00,60.24,100.0
2022-01-22 01:00:00+07:00,60.25,100.0
2022-01-22 02:00:00+07:00,60.22,100.0
2022-01-22 03:00:00+07:00,60.29,100.0
2022-01-22 04:00:00+07:00,60.37,100.0
2022-01-22 05:00:00+07:00,60.91,100.0
2022-01-22 06:00:00+07:00,61.08,100.0
2022-01-22 07:00:00+07:00,60.64,100.0
2022-01-22 08:00:00+07:00,60.41,100.0
2022-01-22 09:00:00+07:00,60.44,100.0
2022-01-22 10:00:00+07:00,60.96,100.0
2022-01-22 11:00:00+07:00,61.12,100.0
2022-01-22 12:00:00+07:00,60.84,100.0
2022-01-22 13:00:00+07:00,60.84,100.0
2022-01-22 15:00:00+07:00,60.97,100.0
2022-01-22 16:00:00+07:00,60.92,100.0
2022-01-22 17:00:00+07:00,60.92,100.0
2022-01-22 18:00:00+07:00,60.79,100.0
2022-01-22 20:00:00+07:00,60.29,100.0
2022-01-22 21:00:00+07:00,60.09,100.0
2022-01-22 22:00:00+07:00,60.04,100.0
2022-01-22 23:00:00+07:00,59.98,100.0
2022-01-23 00:00:00+07:00,60.01,100.0
2022-01-23 01:00:00+07:00,60.13,100.0
2022-01-23 02:00:00+07:00,60.34,100.0
2022-01-23 03:00:00+07:00,60.4,100.0
2022-01-23 04:00:00+07:00,60.74,100.0
2022-01-23 06:00:00+07:00,61.23,100.0
2022-01-23 08:00:00+07:00,60.89,100.0
2022-01-23 09:00:00+07:00,60.38,100.0
2022-01-23 10:00:00+07:00,60.33,100.0
2022-01-23 13:00:00+07:00,59.98,100.0
2022-01-24 16:00:00+07:00,60.69,100.0
2022-01-24 17:00:00+07:00,60.71,100.0
2022-01-24 18:00:00+07:00,61.09,100.0
2022-01-24 20:00:00+07:00,60.93,100.0
2022-01-24 21:00:00+07:00,60.92,100.0
2022-01-24 22:00:00+07:00,61.11,100.0
2022-01-24 23:00:00+07:00,60.89,100.0
2022-01-25 00:00:00+07:00,61.07,100.0
2022-01-25 01:00:00+07:00,61.31,100.0
2022-01-25 02:00:00+07:00,61.5,100.0
2022-01-25 03:00:00+07:00,61.5,100.0
2022-01-25 06:00:00+07:00,60.93,100.0
2022-01-25 07:00:00+07:00,60.91,100.0
2022-01-25 08:00:00+07:00,60.72,100.0
2022-01-25 09:00:00+07:00,60.57,100.0
2022-01-25 10:00:00+07:00,60.37,100.0
2022-01-25 12:00:00+07:00,60.25,100.0
2022-01-25 14:00:00+07:00,61.1,100.0
2022-01-27 09:00:00+07:00,60.72,100.0
2022-01-27 10:00:00+07:00,60.24,100.0
2022-01-27 11:00:00+07:00,60.55,100.0
2022-01-27 12:00:00+07:00,60.82,100.0
2022-01-27 13:00:00+07:00,61.25,100.0
2022-01-27 14:00:00+07:00,61.12,100.0
2022-01-27 15:00:00+07:00,62.1,100.0
2022-01-27 16:00:00+07:00,60.85,100.0
2022-01-27 17:00:00+07:00,60.61,100.0
2022-01-27 18:00:00+07:00,60.92,100.0
