TimeStamp,PLANT LOAD,1-CTA.2M.1FC1101.PV,,,
5/19/2015 13:24,99.19374353,36.70168511,,,
5/19/2015 13:26,99.02198181,36.63813327,,,
5/19/2015 13:28,99.12925746,36.67782526,,,
5/19/2015 13:30,99.30830151,36.74407156,,,
5/19/2015 13:32,99.27584054,36.732061,,,
5/19/2015 13:34,99.45533649,36.7984745,,,
5/19/2015 13:36,99.42509687,36.78728584,,,
5/19/2015 13:38,99.36438017,36.76482066,,,
5/19/2015 13:40,99.40733785,36.78071501,,,
5/19/2015 13:42,99.33013692,36.75215066,,,
5/19/2015 13:44,99.35795241,36.76244239,,,
5/19/2015 13:46,99.44351649,36.7941011,,,
5/19/2015 13:48,99.52822374,36.82544278,,,
5/19/2015 13:50,99.42892569,36.78870251,,,
5/19/2015 13:52,99.53856366,36.82926855,,,
5/19/2015 13:54,99.63993676,36.8667766,,,
5/19/2015 13:56,99.74662418,36.90625094,,,
5/19/2015 13:58,99.69636211,36.88765398,,,
5/19/2015 14:00,99.58878429,36.84785019,,,
5/19/2015 14:02,99.5526133,36.83446692,,,
5/19/2015 14:04,99.5850672,36.84647486,,,
5/19/2015 14:06,99.60760525,36.85481394,,,
5/19/2015 14:08,99.58183236,36.84527797,,,
5/19/2015 14:10,99.69983915,36.88894049,,,
5/19/2015 14:12,99.647631,36.86962347,,,
5/19/2015 14:14,99.64974827,36.87040686,,,
5/19/2015 14:16,99.66063791,36.87443603,,,
5/19/2015 14:18,99.68265195,36.88258122,,,
5/19/2015 14:20,99.67459836,36.87960139,,,
5/19/2015 14:22,99.74997799,36.90749185,,,
5/19/2015 14:24,99.85228548,36.94534563,,,
5/19/2015 14:26,99.90518394,36.96491806,,,
5/19/2015 14:28,99.91679465,36.96921402,,,
5/19/2015 14:30,99.92954629,36.97393213,,,
5/19/2015 14:32,99.9574806,36.98426782,,,
5/19/2015 14:34,100.0014968,37.0005538,,,
5/19/2015 14:36,99.93896598,36.97741741,,,
5/19/2015 14:38,99.84105553,36.94119054,,,
5/19/2015 14:40,99.9516658,36.98211635,,,
5/19/2015 14:42,99.88465387,36.95732193,,,
5/19/2015 14:44,99.90189125,36.96369976,,,
5/19/2015 14:46,99.81283529,36.93074906,,,
5/19/2015 14:48,99.89501742,36.96115645,,,
5/19/2015 14:50,99.87108013,36.95229965,,,
5/19/2015 14:52,99.87228652,36.95274601,,,
5/19/2015 14:54,99.77120206,36.91534476,,,
5/19/2015 14:56,99.54854099,36.83296017,,,
5/19/2015 14:58,99.54337032,36.83104702,,,
5/19/2015 15:00,99.51421016,36.82025776,,,
5/19/2015 15:02,99.5817681,36.8452542,,,
5/19/2015 15:04,99.65746959,36.87326375,,,
5/19/2015 15:06,99.46295804,36.80129448,,,
5/19/2015 15:08,99.46956909,36.80374056,,,
5/19/2015 15:10,99.62971427,36.86299428,,,
5/19/2015 15:12,99.55185002,36.83418451,,,
5/19/2015 15:14,99.61816434,36.85872081,,,
5/19/2015 15:16,99.38164955,36.77121033,,,
5/19/2015 15:18,99.34994051,36.75947799,,,
5/19/2015 15:20,99.2722343,36.73072669,,,
5/19/2015 15:22,99.20016215,36.70406,,,
5/19/2015 15:24,99.27847611,36.73303616,,,
5/19/2015 15:26,99.13246858,36.67901337,,,
5/19/2015 15:28,99.14836909,36.68489656,,,
5/19/2015 15:30,99.11804191,36.67367551,,,
5/19/2015 15:32,99.14300897,36.68291332,,,
5/19/2015 15:34,99.00230796,36.63085394,,,
5/19/2015 15:36,99.12356604,36.67571944,,,
5/19/2015 15:38,99.29550072,36.73933527,,,
5/19/2015 15:40,99.1433392,36.6830355,,,
5/19/2015 15:42,99.08634016,36.66194586,,,
5/19/2015 15:44,99.04541951,36.64680522,,,
5/19/2015 15:46,99.12635934,36.67675296,,,
5/19/2015 15:48,99.06218358,36.65300793,,,
5/19/2015 15:50,98.91191227,36.59740754,,,
5/19/2015 15:52,98.93696217,36.606676,,,
5/19/2015 15:54,98.95151007,36.61205873,,,
5/19/2015 15:56,99.06840156,36.65530858,,,
5/19/2015 15:58,99.10540632,36.66900034,,,
5/19/2015 16:00,99.0511821,36.64893738,,,
5/19/2015 16:02,99.02892053,36.64070059,,,
5/19/2015 16:04,99.12824379,36.6774502,,,
5/19/2015 16:06,99.35764964,36.76233037,,,
5/19/2015 16:08,99.1207082,36.67466203,,,
5/19/2015 16:10,99.33469644,36.75383768,,,
5/19/2015 16:12,99.41874299,36.7849349,,,
5/19/2015 16:14,99.49443709,36.81294172,,,
5/19/2015 16:16,99.35900756,36.7628328,,,
5/19/2015 16:18,99.4361062,36.79135929,,,
5/19/2015 16:20,99.53239441,36.82698593,,,
5/19/2015 16:22,99.51685663,36.82123695,,,
5/19/2015 16:24,99.51205669,36.81946098,,,
5/19/2015 16:26,99.45378725,36.79790128,,,
5/19/2015 16:28,99.37901255,36.77023465,,,
5/19/2015 16:30,99.4523597,36.79737309,,,
5/19/2015 16:32,99.56774836,36.84006689,,,
5/19/2015 16:34,99.42129877,36.78588054,,,
5/19/2015 16:36,99.38098727,36.77096529,,,
5/19/2015 16:38,99.44662409,36.79525091,,,
5/19/2015 16:40,99.58999451,36.84829797,,,
5/19/2015 16:42,99.6546517,36.87222113,,,
5/19/2015 16:44,99.54702817,36.83240042,,,
5/19/2015 16:46,99.61158379,36.856286,,,
5/19/2015 16:48,99.63606531,36.86534416,,,
5/19/2015 16:50,99.60053436,36.85219771,,,
5/19/2015 16:52,99.69948327,36.88880881,,,
5/19/2015 16:54,99.60180329,36.85266722,,,
5/19/2015 16:56,99.49895607,36.81461375,,,
5/19/2015 16:58,99.46740264,36.80293898,,,
5/19/2015 17:00,99.78384141,36.92002132,,,
5/19/2015 17:02,99.53441828,36.82773476,,,
5/19/2015 17:04,99.6361589,36.86537879,,,
5/19/2015 17:06,99.63862222,36.86629022,,,
5/19/2015 17:08,99.69181236,36.88597057,,,
5/19/2015 17:10,99.70586385,36.89116962,,,
5/19/2015 17:12,99.64521743,36.86873045,,,
5/19/2015 17:14,99.72236541,36.8972752,,,
5/19/2015 17:16,99.50900632,36.81833234,,,
5/19/2015 17:18,99.54336336,36.83104444,,,
5/19/2015 17:20,99.65852852,36.87365555,,,
5/19/2015 17:22,99.71826232,36.89575706,,,
5/19/2015 17:24,99.72743788,36.89915202,,,
5/19/2015 17:26,99.58322295,36.84579249,,,
5/19/2015 17:28,99.6305647,36.86330894,,,
5/19/2015 17:30,99.55595973,36.8357051,,,
5/19/2015 17:32,99.51240666,36.81959047,,,
5/19/2015 17:34,99.67054537,36.87810179,,,
5/19/2015 17:36,99.73223869,36.90092832,,,
5/19/2015 17:38,99.67294945,36.8789913,,,
5/19/2015 17:40,99.91361128,36.96803617,,,
5/19/2015 17:42,99.96793755,36.98813689,,,
5/19/2015 17:44,99.94957411,36.98134242,,,
5/19/2015 17:46,99.94285633,36.97885684,,,
5/19/2015 17:48,99.84312627,36.94195672,,,
5/19/2015 17:50,99.81738134,36.9324311,,,
5/19/2015 17:52,99.89927581,36.96273205,,,
5/19/2015 17:54,99.92464399,36.97211828,,,
5/19/2015 17:56,99.92692428,36.97296198,,,
5/19/2015 17:58,99.75168828,36.90812466,,,
5/19/2015 18:00,99.7888412,36.92187124,,,
5/19/2015 18:02,99.72286812,36.89746121,,,
5/19/2015 18:04,99.91399313,36.96817746,,,
5/19/2015 18:06,99.88631994,36.95793838,,,
5/19/2015 18:08,99.79550156,36.92433558,,,
5/19/2015 18:10,99.67803164,36.88087171,,,
5/19/2015 18:12,99.77590923,36.91708642,,,
5/19/2015 18:14,99.70058304,36.88921573,,,
5/19/2015 18:16,99.70213517,36.88979001,,,
5/19/2015 18:18,99.67624761,36.88021162,,,
5/19/2015 18:20,99.77510902,36.91679034,,,
5/19/2015 18:22,99.50015975,36.81505911,,,
5/19/2015 18:24,99.59690488,36.85085481,,,
5/19/2015 18:26,99.77780277,36.91778703,,,
5/19/2015 18:28,99.9090604,36.96635235,,,
5/19/2015 18:30,99.83882384,36.94036482,,,
5/19/2015 18:32,99.65736273,36.87322421,,,
5/19/2015 18:34,99.5910808,36.8486999,,,
5/19/2015 18:36,99.62617035,36.86168303,,,
5/19/2015 18:38,99.62249654,36.86032372,,,
5/19/2015 18:40,99.6233902,36.86065437,,,
5/19/2015 18:42,99.62579748,36.86154507,,,
5/19/2015 18:44,99.68207025,36.88236599,,,
5/19/2015 18:46,99.44702123,36.79539786,,,
5/19/2015 18:48,99.55990685,36.83716554,,,
5/19/2015 18:50,99.58595415,36.84680304,,,
5/19/2015 18:52,99.67015332,36.87795673,,,
5/19/2015 18:54,99.6510794,36.87089938,,,
5/19/2015 18:56,99.55835846,36.83659263,,,
